"filename","unplatted_property","abstract_no","county","propertyid","geographicid"
"963431 - 2022 Easement from Silverado for Lot 4 (filed 12-27-2022 ).txt","","","","R000119484","13807.002004.00"
"963739 - 2022 Easement from SRI Southlake Villas to TCEC for Lots 1-13 of Southlake Villas (filed 09-22-2022).txt","","","","",""
"965493 - 2022 Easement from Griffith for 98.5 acres (filed 10-03-2022).txt","98.5","418","Baylor","R000011830","00418-00010-00000-000000 R800017889"
"965564 - 2022 Easement from DSCI for Jessica's Estates (Parker filed 09-22-2022).txt","","","","",""
"965564 - 2022 Easement from DSCI for Jessica's Estates (Wise filed 10-03-2022).txt","","","","",""
"966271 - 2022 Easement from Beach for 40 acres (filed 09-06-2022).txt","40","2176","PARKER","",""
"966281 - 2022 Easement from Showalter for 13.298 acres (filed 11-16-2022).txt","13,298","642","WISE","",""
"966281 - 2022 Easement from Willis for 11.60 acres (filed 11-16-2022).txt","11.60","","","200001015","A0142.0003.00"
"967157 - 2022 Easement from Hodnett for 108 acres (filed 11-03-2022).txt","","1043 1557,","Parker","",""
"967194 - 2022 Easement from Swick and Arant for 322 acres (filed 10-03-2022).txt","322.55","492","Baylor","",""
"968158 - 2022 Easement from Osborne for 23.953 acres (filled 11-10-2022).txt","23-953","1655 and 2452","JACK","55074,55079,","22452-00045-00300-000000 55082 21714-00045-00200-000000"
"968497 - 2022 Easement from Stephenson for 45 acres (filed 11-14-2022).txt","45.69","214","Jack","61237 GEOGRAPIIIC ID:

 20214-00044-02899-000000",""
"968595 - 2022 Easement from Sullivan (filed 10-27-2022).txt","","","","",""
"968670 - 2022 Easement from Dunn for Lot 3 (filed 12-01-2022).txt","","","","R000114236","14639.001.003.00"
"968702 - 2022 Easement from Fleming for Lot 6R (filed 10-03-2022).txt","","","","R000093476","17110.001.006.00 the EASEMENT PROPERTY shall be limited to that portion of the property within 10 feet in all directions of GRANTEE'S lines,"
"969089 - 2022 Easement from Landreth for 14 acres (filed 10-26-2022).txt","14.000","1119","wise","B 30414","R130.0017.00"
"969115 - 2022 Easement from Ramirez for 21 acres (filed).txt","21.08","1421","Parker","R0000-55153","21421,023.001-.00"
"969176 - 2022 Easement from Claw for Lots 1-52 (filed 09-19-2022).txt","","","","",""
"969177 - 2022 Easement from 2022 Sarra Lane LLC to TCEC for Lots 1-103 (filed 09-14-2022).txt","","","","",""
"969178 - 2022 Easement from 3 Ring Wagon for Lot 4 (filed 12-08-2022).txt","","","","",""
"969178 - 2022 Easement from Collins for Callisto Fields Lot 1 (filed 11-03-2022).txt","","","","",""
"969178 - 2022 Easement from DelaCruz for Lot 7-8 (filed 12-08-2022).txt","","","","",""
"969178 - 2022 Easement from Harris for Lot 6 Callisto Fields (filed 11-10-2022).txt","","","","R000121711","10917.001.006.00"
"969178 - 2022 Easement from Hoover for Lot 2 Callisto Fields (filed 12-08-2022).txt","","","","",""
"969178 - 2022 Easement from Ibarra for Lot 5 Callisto Fields (filed 12-08-2022).txt","","","","R000121710","10917.001.005.00"
"969338 - 2022 Easement from Johnson for Lot 32R (filed 09-19-2022).txt","","","","R000114885","10411.00A.032.00"
"969342 - 2022 Easement from White to TCEC for 41 acres (filed 09-14-2022).txt","41","310","Hood","",""
"969361 - 2022 Easement from Turner for Tract 4 (filed 10-03-2022).txt","","","","",""
"969368 -2022 Easement from Jones to TCEC for 15 acres (filed 09-14-2022).txt","","867","Parker","R000046944","20867.003.000.50"
"969623 - 2022 Easement from Lucas for 5.166 acres (filed 09-14-2022).txt","","1456","Parker","R000051671","21212.007.000.00"
"969724 - 2022 Easement from HW Commons 2, Ltd. (filed 10-14-2022).txt","","","","",""
"969726 - 2022 Easement with Jones for Lots 23-24 Coffey Creek Acres (filed 09-19-2022).txt","","","","Ro00118152/R000118753","11312.001.023 50"
"969737 - 2022 Easement from Chism (filed 10-13-2022).txt","2","A-213","Parker","",""
"969737 - 2022 Easement from Jones Trust (filed 10-13-2022).txt","12.50","213","PARKER","R000107806","20213.022.001.50"
"969886 - 2022 Easement from Heid Construction MK Homes for Lots 2-4,6,7 Garner Estates (filed 10-13-2022).txt","","","","",""
"969886 - 2022 Easement from KW Homes for Lots 1,5 Garner Estates (filed 10-27-2022).txt","","","","",""
"969887 - 2022 Easement from Feather Edge for Zion Trails Ph IV (filed 10-03-2022).txt","","","","",""
"969903 - 2022 Easement from Gardner for Lot 26 (Filed 10-03-2022).txt","","","","",""
"9699993 - 2022 Easement from Rice for Lot 132 (filed 10-13-2022).txt","","","","",""
"970321 - 2022 Easement from Barrett for 44 acres (filed 11-17-2022).txt","44.38","1606 & 461","Parket","R59506","21606.013.000.00 R41038 $0461-.005.001-00"
"970321 - 2022 Easement from Jones for 1 acre (filed 12-01-2022).txt","1","1606","PARKER","R000059489","21606.002.000.00"
"970355 - 2022 Easement from 3M Farms for 115 acres (filed 12-22-2022).txt","115","1462","Knox","","R000006183 51462.00200.00000. 330096"
"970439 - 2022 Easement from Pershing UDC for Lot 2 (filed 12-01-2022).txt","","","","",""
"970471 - 2022 Easement from FC Legacy Ventures for The Grasslands (filed 10-14-2022).txt","","","","R000090716 AND R000066106 22377.003.000.00","22551,003.000.60 AND"
"970879 - 2022 Easement from Topline for Monarch Villas (filed 11-10-2022).txt","","","","",""
"970925 - 2022 Easement from Terrina for lots 1-10 (filed 11-03-2022).txt","","","","",""
"970926 - 2022 Easement from Nichols for Adell Corner (filed 01-23-2023).txt","","","","",""
"971100 - 2022 Easement from Woody for 160 acres (filed 11-10-2022).txt","160","79","PARKER","R000035726","20079.001.000.00"
"971847 - 2022 Easement from Abba River for Lot 1 (filed 12-27-2022).txt","","","","R000093639","14983.001-001.00"
"Aaron Looper PT21195_Aaron Looper PT21195.txt","62.744","882","Hood","",""
"Acal Investments 961589_Acal Investments 961589 (2).txt","","","","",""
"Acal Investments 961589_Acal Investments 961589.txt","","","","",""
"ACT Homes LLC_ACT Homes LLC 966040.txt","","","","R000023728",""
"Adam Berend 964312_Adam Berend 964312.txt","3","32","Parker","",""
"Adell Baptist Church 964913_Adell Baptist Church 964913.txt","3.67","1489","Parker","",""
"Adrian Arellano 959135.txt","19.16","666","Jack","7479",""
"Aimee N & Boyd T Burnett 960942.txt","","","","",""
"Alan Burton 950687 Recorded.txt","","501","Parker","",""
"Alan Hickey_Alan Hickey 964476.txt","","","","R000039957","20022 00.1000.0"
"Alan Riley 937653.txt","","","","",""
"Albert Ellison 959341_Albert Ellison 959341.txt","5.678","532 Tract3B","Tarrant","03888460","A532-3B"
"Aledo 3 LLC 963872.txt","4.234","1062","Parker","",""
"Aledo Independent School District 952114_Aledo Independent School District 952114.txt","","","Parker","",""
"All4Love Holdings 959779_All4Love Holdings 959779.txt","","","","",""
"All4Love Holdings 959782_All4Love Holdings 959782.txt","","","","",""
"All4love Holdings 964040_All4love Holdings LLC 964040.txt","","","","",""
"Alliance Apartments 95619_Alliance Apt 95619 (1).txt","","","","",""
"Alvin and Gail Pitchford 947167 Recorded.txt","1.344","County, Texas, as more fully described","an instrument recorded in Volume 2514 Page 560 of the Records of Parker","",""
"Amy Smith 958415_Amy Louise  Smith 958415.txt","15.288","760","PARKER","R00045021",""
"Amy Whitmire 961191_Amy Whitmire 961191.txt","","386","Perior","Rooge 59886 GEOGRAPHI ID:

 20386.007.001.00",""
"Andrew Shankles 957679_Andrew Shankles 957679.txt","","1510","Parker","R000116211","21510.001.001.00"
"Andrew Smith 967548_Andrew Smith 967548.txt","","","","R 0000 19384","13486.002.010.00"
"Andrews Leta Mae 949851 Recorded.txt","24.940","444","HOOD","Roooo 44620 GFOGRAPHIK II):

 20444.000.0020.0",""
"Angel Deewese 965803_Angel DeWeese 965803.txt","","","Parker","R000014345","14310,001.020.00 the EASEMENT PROPERTY shall be limited to that portion of the property within TO feet in all directions of GRANTEE'S Imes,"
"Angelo Perez.txt","","","","",""
"Anthony Barton 938267.txt","10","432","Parker","",""
"Ashley Hathcox 957918_Ashley Hathcox 957918.txt","","","","",""
"Ashley Holloman 966221_Ashley Holloman 966221.txt","","","","",""
"Ashtyn Haynes 965305_Ashtyn Haynes 965305.txt","32.61","1256","Parker","",""
"ASL Properties 963748_ASL Properties 963748.txt","","","","",""
"assia Gettens 963782.txt","20","666","Jack","",""
"Austin Adams 950153_Austin Adams 950153.txt","22.464","184","Parker","","570°37'29" w 969.98"
"Austin Staggs PT 26881_Austin Staggs PT 26881.txt","","","","","13474.000.0029.0"
"Autumn Black PT 29173_Autumn Black PT 29173.txt","","","","R000108281","13882.001.012.00"
"Azle ISD 964594_Azle ISD 964594.txt","","","C party. Texas, as more fully described in an instrument recorded in Volume Page of the Records of","",""
"Baptism Pool Ranch 961547_Baptism Pool Ranc 961547.txt","","","","",""
"Baptism Pool Ranch 964827_Baptism Pool Ranch 964827.txt","","","","",""
"Bar T Ranch LP 959349.txt","363.020","29","knox","R000014817",""
"Bar-KO Land 959677_Bar-Ko Land CO 959677.txt","","","","",""
"Bar-KO Land Co 959677_Bar-KO Land 959677.txt","","","","",""
"Barbara Jackson.txt","5","","ARCHER","",""
"Barbara Sandlin 966456.txt","115.5","1392","Parker","",""
"Beaten Path Development 963140_Beaten Path Development 963140.txt","","","","",""
"Bethzaida Clowers 964475_Bethzaida Clowers 964475.txt","","","","R000114396","18442.001.046.00"
"Betty Martin 968189_Betty Martin 968189.txt","18.5","247","Parker","",""
"Bill McAfee 952520 Recorded.txt","","","","",""
"Billie Gene Young   Carlen Young.txt","","1721","BAYLOR","",""
"Billy Hicks 963871_Billy Hicks 963871.txt","","County Texas, as more fully described","an instrument recorded in Volume Page of the Records of c","","13711.200.0233.0"
"Billy Holloway 962026.txt","15.760","2812","Parker","",""
"Billy Holloway 962026_Billy Holloway 962026.txt","15.760","2812","Parker","",""
"Billy M Hicks 963871_Billy M Hicks 963871 (2).txt","","","","R000030233","13711,000.0034.0"
"Billy M Hicks 963871_Billy M Hicks 963871.txt","","","","R000030233","13711,000.0034.0"
"Black Star Investments 961801_Black Star Investments 961801.txt","","","","",""
"Blackburn Holdings 952990_Blackburn Holdings.txt","","","","",""
"Blessed to Bless Investments LLC.txt","","","","R117796",""
"Bluestem Ranch Ventures 959192_Bluestem Ranch Ventures 959192.txt","","","","",""
"Bobby and Marcie Danals 943209.txt","","","","",""
"Bobby Benton 958438_Bobby Benton 958438.txt","4.802","1128","Tarrant","",""
"Bobby Benton Jr 958438_Bobby Benton Jr 958438.txt","4.802","1128","Tarrant","",""
"Bobcat Pass Development 959193_Bobcat Pass Development 959193.txt","","","","",""
"Brandon & Keegan Beaty 949794.txt","2.5","331","Wise","",""
"Brazos River Authority 959988_Brazos River Authority 959988.txt","05","348","Hood","",""
"Brenda Mitchell PT26932_Brenda Mitchell PT26932.txt","","112 County. Texas, as more fully described","an instrument recorded in Volume Page of the Records of","",""
"Brent Hrncirik.txt","70.078","451","Baylor","",""
"Brett Ledbetter 952732 Recorded.txt","5.034","209","Parker","","20209.001.007.00"
"Brian Barone 961461_Brian Barone 961461.txt","49.473","1432","Parker","",""
"Brian Bidne 960221_Brian Bidne 960221.txt","116.365","922","PARKER","000048113",""
"Brian Day 938078.txt","","","","",""
"Brookfield Holdings Willow Springs 1B LG1370.txt","","","","",""
"Brookson Builders 965934.txt",",","","","",""
"Bryan Dubeansky 967051_Bryan Dubeansky 967051.txt","24,33","802","PARKER","",""
"Bryan Riggs 967931_Bryan Riggs 967931.txt","2","2485","Parker","",""
"Bryson Adam 958476_Bryson Adams 958476.txt","","","","",""
"Bryson Adams 958476_Bryson Adams 958476.txt","","","","",""
"Btakn Capital 965010_Btakn Capital 965010.txt","","","","",""
"BW Gas & Convenience RE 96263_BW Gas & Convenience RE 962563.txt","","","","",""
"Byron Day 938390.txt","","","","",""
"Calhoun Acres 962884_Calhoun Acres 962884.txt","","","","",""
"Calvin Turk Jr 961706_Calvin C Turk Jr 961706.txt","1060","1930","TARRANT","40754359","A1930-1C"
"Cameron Kirkpatrick 961707_Cameron Kirkpatrick 961707.txt","","731","Parker (","",""
"Caren Wilson 967330_Caren Wilson 967330.txt","59.61","854","Parker","",""
"Carl Francis 965430_Carl Francis 965430.txt","2.6","1933","TATRANT","04881532","A1933-2C01"
"Carl Rozario 953523.txt","639.6",", 1500","Knox","",""
"Carl Taylor.txt","5.21","733","KNOX","",""
"Carrie Thibodeaux 962814_Carrie Thibodeaux 962814.txt","","","","R000116312 GEORAPHIC ID:

 19776-001-008.10",""
"Cartwright Ranch 955675.txt","226.000","","","",""
"Carvana 962997_Carvana 962997.txt","","","","",""
"Casey Sowers 952845.txt","","","","",""
"Chad Bushaw 947857 Recorded.txt","","","","",""
"Chad Foust and Kacey Kirby 944228.txt","8.592","495","Parker","",""
"Charles Bolton 959369_Charles Bolton 959369.txt","","","","",""
"Charles Cheatheam 963894.txt","4","616","Wise","R28144","R0520.0008.00"
"Charles Lee 960148_Charles Lee 960148.txt","13.028","2278","Parker","",""
"Charles McAdams 937653.txt","14.473","49Le","Parker","",""
"Charles McCoy 936866.txt","5","614","wise","",""
"Charles Monroe 962109_Charles Monroe 962109.txt","","","Parker","R000038667","20280. 004.001.00"
"Charles Tidwell 937662.txt","1.0","1127","Tarrant","",""
"Charlotte W Jones 966456.txt","1.63","1392","Parker","",""
"Chase Booth 964745_Chase Booth 964745.txt","","","Parker","",""
"Cherry Doyle PT 04543_Cherry Doyle PT 04543.txt","56.470","1654","PARKER","2000060010",""
"Chisholm Springs 863886.txt","","","","",""
"Chris Fargas 964833_Chris Fargas 964833.txt","","","","",""
"Chris Gasca 938522.txt","IS","602","Parkes","",""
"Chris Jeter 960225.txt","389.570 H&TC RR CROWELL GYUNN FLAT SECT at BLOCK","305","KNOX","",""
"Chris Jeter.txt","224.780","305","Knox","R000007848","50305.00400.00000.010081"
"Chris McKinley Homes 963909.txt","","","","02273071",""
"Chris Moore 959187_Chris Moore 959187.txt","","","","GFOGRAPHIC ID:

 the EASEMENT PROPERTY shall be limited to that portion of the property within inconclusive in directions of GRANTEE'S lines",""
"Christine Demore 965218_Christine Demore 965218.txt","2.011","","Parker","R000113896",""
"Christine Denmor WO 965218_Christine Demore WO 965218.txt","2.011","","Parker","R000113896",""
"Christopher Jeter Ranch 947749 Recorded.txt","","1541","Parker","",""
"Christopher M Dial 963444.txt","","","","760654","R1087.240.00"
"Christopher Pauler 937743.txt","","","","",""
"Christopher Steele 937071.txt","11.743","1136","wise","",""
"Christy Hamilton 938801.txt","1","1469","Parker","",""
"Claude Jackson 965337_Claude Jackson 965337.txt","11/2","796","PARKER","",""
"Clayton Lee 958841_Clayton Lee 958841.txt","5.010","","","",""
"Cletus 959788_Cletus 959788.txt","10.566","1302","Parker","R000052769","21302.008.000.00"
"Clift Smith 967330_Clifton Smith 967330.txt","64.22","2202","Parker","",""
"Cocan 961400_Cocan 961400.txt","","","","",""
"Coddy Chandler 952600 Recorded.txt","","15","Parker","R112102","20015.005.003.00"
"Cody Dickson.txt","148","3","Baylor","",""
"Colonial Financial 966037_Colonial Financial 966037.txt","","","","",""
"Colton Holland 958854_Colton Holland 958854.txt","11.18","2501","PARKER w.b. CH","R000116494 GEOGRAPHIO ID:

 22501.001.004.00",""
"Craig Shellerud 962008_Craig Shellerud 962008.txt","17.632","386","PARKER","R000039871","20386.001.002.00"
"Cris & Kristen McClellan 970325.txt","","","","R000088245",""
"CT3 Investments 963459_CT3 Investments & Homes 963459.txt","15","1806","Purker","",""
"CT3 Investments 963847_CT3 Investments & Homes 963847.txt","15","1806","Parker","",""
"CT3 Investments 965514_CT3 Investments 965514.txt","15","1806","Parker","",""
"Curtis Moore 938245.txt","","","","",""
"Cynthia Thompson 951662.txt","330t 148. 2 Are tract","330","Knox","",""
"D-Day Enterprises 959651_D-Day Enterprises 959651.txt","","","","",""
"D4 Stanford Investments 938874.txt","","","","",""
"D4 Stanford Investments 963476_D4 Stanford Investments 963476.txt","","","","",""
"Dana Hinson 970317.txt","","","","",""
"Daniel Young 957984_Daniel Young 957984.txt","17.167","1458","Parker","",""
"Danny Ballard 959616_Danny Ballard 959616.txt","2","2235","Parker","",""
"Danny Ballard 965596_Danny Ballard 965596.txt","","2135","Pooker","",""
"Danny Golightly 965102_Danny Golightly 965102.txt","","","","",""
"Danny J Ballard 959616_Danny Ballard 959616.txt","35","2235","Parker","R000071718","22235.001.002.50"
"Danny Taylor.txt","356.6","1046+ 1931","Knox","",""
"Darden Properties 963714_Darden Propeties 963714 (1).txt","","","","",""
"Dave Cox 939033.txt","1.69","","","",""
"David & Amy Whitaker 962960.txt","332.00","379","Baylor","",""
"David & Angela Belding 966458.txt","39.84","214","Jack","61148 GEOGRAPHIO ID:

 (0214-00044-02805-000000",""
"David B Belding.txt","39.84","214","Jack","61148","20214-00044-02805-000000"
"David Belding PT28322.txt","39.84","214","Jack","61148","20214-00044-02805-000000"
"David Belding.txt","39.84","214","Jack","61148","20214-00044-02805-000000"
"David Dickinson 960182_David Dickinson 960182.txt","","","","R000099551",""
"David Doyle 938328.txt","16.598","1065","Parker","",""
"David Looney 961599_David Looney 961599.txt","","","Parker","",""
"David Markell 947021.txt","22.007","631/1172","WISE HORTH LILES","",""
"David Niell 966367.txt","55.160","969","Baylor","R000013290","00969-00020-00000-000000"
"David Osburn 967062_David Osburn 967062.txt","20.168","27","Hood","",""
"David Palmer 962008_David Palmer 962008.txt","","A-386","Parker","",""
"David Parkey 955658.txt","127,29","113","Archer","",""
"David Salzbrenner 965567_David Salzbrenner 965567.txt","10","1011","Hand","","the EASEMENT PROPERTY shall be limited to that portion of the property within TO feet in all directions of GRANTFF'S lines,"
"Deborah Bates 964478_Deborah Bates 964478.txt","","","","",""
"Deborah Eldred 963703_Deborah Eldred 963703 (1).txt","8.940","1370","Parker","",""
"Debra Looney 96189_Debra Looney 96189.txt","0.33","129","Parked","",""
"Deer Ridge James R Dunaway 950863.txt","","","","",""
"Delz Investment Midway Meadows 945006.txt","","270","Parker","",""
"Derek and Camilla Simpson 952346 Recorded.txt","6","1020","Par Ker","",""
"Derek Osburn Construction CO. 969180.txt","","","","",""
"Dewayne Childress 962541_Dewayne Childress 962541.txt","","A-1333","Packer","ROWD 53067","21333 009 we e"
"Dhara Fort Worth 954478_Dhara Fort Worth 954478.txt","","","","",""
"Diamond E RE  964285_Diamond E RE LLC 964285.txt","4.006","2227","Parker","",""
"Diamond J B J 950743_Diamond J B J 950743.txt","","","","","13894.001.002.30 the PASEMENT PROPERTY shall be limited to that portion of the property widhin 10 feet in all directions of GRANTÉE'S lines"
"Diane Wallace 942246_Diane Wallace 942246.txt","","","","",""
"DKO I20 Development 962208_DKO I20 Development 962208.txt","","","","",""
"DMS Jack 959267.txt","131.500","385","Jack","",""
"Don Emsoff & Donna Emsoff 957626.txt","150","366","Baylor","",""
"Donald Lancaster 957524_Donald Lancaster 957524.txt","13te","1381","Parker","",""
"Donald Love Jeanna Love 937333.txt","36.4","507","Hood","",""
"Donald Patton 931309.txt","75.040","844","WISE","",""
"Donald Patton Sheila Patton 931309.txt","75.040","844","WISE","",""
"Donna Cotton 967746_Donna Cotton 967746.txt","2.930","84","Parker","",""
"Donny McElroy 966285_Donny McElroy 966285.txt","","","","211 Amingoct Lot20 Block","Remuda Panch Estates"
"Dorothy Smith 961707_Dorothy Smith 961707.txt","546.887","731","Parker","",""
"Douglas Allred 938331.txt","","707","Parker","",""
"Doyle Hanley Hanley Family Partnership 952187 Recorded.txt","32.346","497","Parker","R000041511 GEOGRAPHIO ID:

 20497,002.000.00",""
"DP Construction 961588_DP Construction 961588.txt","","","","",""
"DP Construction LLC 961587.txt","","","","",""
"E J Seymour 958277_E J Seymour 958277.txt","256,400","484","Hood","R-00044851","20484,000.0010.0 the EASEMENT PROPERTY shall be limited to that portion of the property within 10 feet in all directions of GRANTFR'S lines,"
"Eagle Mountain Saginaw ISD 961574_Eagle Mountain Saginaw ISD 961574.txt","160.847","1497","TARRANT","",""
"Eagle Ridge Estates 964041_Eagle Ridge Estates 964041.txt","","","","",""
"Eagles Bluff  946869 Recorded.txt","","","","",""
"Eagles Bluff Monte Magness 945716_Document 1 (1).txt","","","","",""
"Eagles Bluff Monte Magness 947540 Recorded.txt","","","","",""
"Earl Bazzell PT 26289_Earl Bazzell PT26289.txt","","","","",""
"ECAM Development_ECAM Development 964659.txt","","","","",""
"Edward III & Manda Bricker 965864.txt","99.480","321","Baylor","R000016476","00321-00020-00000-000000"
"Edward Ray 962241_Edward Ray 962241.txt","","","","",""
"Edwardo Rodriguez Jr 962901_Edwardo Rodriguez Jr.txt","/","","","",""
"Ehrenberg 963992_Leslie Ehrenberg 963992_Leslie Ehrenberg 963992.txt","","","","",""
"El Campo Wind.txt","12","1412","Knox","",""
"Elliot Fisher & Joanne Fisher 963094.txt","5.0","2237","PARKER","R112916",""
"Elliot Shane Fisher & Joanne Shirley Fisher 964589.txt","11.85","2237","PARKER","R65021","22237.002.000.00"
"Ellis Rd 963073_Ellis Rd LLC 963073.txt","","","","",""
"Ellis Road LLC 959780_Ellis Rd 959780.txt","","","","",""
"Elva Joyce Stoker Heritage Trust 959998_The Elva Joyce Stoker Heritage Trust 959998.txt","22.151, tract 3","1628","Parker","",""
"Emilio Navarro 955594_Emilio Navarro 955594.txt","","","","",""
"Endurance@Granbury Holding 960353_Endurance @Granbury Holdings 960353.txt","","","","",""
"Equity Trust Michael Boaz 938485.txt","50","677","Jack","",""
"Eric Reeves 963090_Eric Reeves 963090.txt","","1428","PARKER","Roooier9z",""
"Erik Benjamin Cuba 968312.txt","","","","",""
"Erin Reich 964643_Erin Reich 964643.txt","115.039","1410 County, Texas, as more fully described","an instrument recorded in Volume 18199 , Page 445 of the Real Records Marker","",""
"Ernest Doka 931309.txt","14.50","320","WISE","",""
"Ethan Massie_Ethan Brad Massie 953089 (1).txt","2.5","857","Parker","R000114332","20857.003.003.00"
"Eugene Cecil Shelli Cecil 952320 Recorded.txt","3.1620","567","PARKER","",""
"Eugene Shimer & Paula Glick 967940.txt",", 14.291","1515","Parker","",""
"Eva Steele 958415_Eva Steele 958415.txt","","","","R00011928",""
"Fayyazi Family 964792_Fayyazi Family LP.txt","","iu County, Texas, as more fully described","an instrument recorded in Volume Page of the Records of","",""
"Feather Edge Holding Daniel Morgan 947360 Recorded.txt","","","","",""
"Feather Edge Holdings 946485 Recorded.txt","","","","",""
"Feather Edge Holdings 959371_Feather Edge Holdings 959371.txt","","","","",""
"Feather Edge Holdings 968000_Feather Edge Holdings 968000.txt","","","","",""
"Feather Edge Wayne Lee 950840.txt","","","","",""
"Federico Malatesta_Federico Malatesta 967087.txt","15","316/676","TAKUER","",""
"Fidencio Medina 965810_Fidencio Medina 965810.txt","","","","R000012791","13700.090.003.00"
"Finney Estates 949195_Finney Estates 949195.txt","","","","",""
"Finney Estates 965011_Finney Estates 965011.txt","","","","",""
"First Nest Properties 966940.txt","","","","",""
"Floyd Family Properties 963477_Floyd Family Properties 963477.txt","","","","",""
"Frances Presson 964963_Frances Presson 964963.txt","","","","",""
"Frank Kimmell 933339.txt","32","424","Hood","",""
"Gabriel Albani PT 17683_Gabriel Albani PT17683.txt","","","","R000108754","11897,001.078.00"
"Garden Areta Trust (2).txt","","","","",""
"Garden Areta Trust (3).txt","","","","",""
"Garden Areta Trust.txt","","","","",""
"Gary and Christle Wolf.txt","","","","",""
"Gary Belue 958650_Gary Belue 958650.txt","","","","GEOGRAPHC ID:",""
"Gary Bennett 965567_David Bennett 965567.txt","50","167-391","Hood","",""
"Gary Brooks 960291_Gary Brooks 960291.txt","0.530","","Parker","",""
"Gary Fife 964910_Gary Fife 964910.txt","","934","larker","GEOGR APHIC ID",""
"Gary fife.txt","","939","Parker","",""
"Gary Lee 959529_Gary Lee 959529.txt","9.930","910","Parker","",""
"Gary Menzies 967532_Gary Menzies 967532.txt","/","588","Porker","",""
"Gary P Owens 966456.txt","2.70","1480","Parker","",""
"Gay Tidwell.txt","2","11","Knot","",""
"Gaylon and Joyce Scott 958376.txt","96.000","984","Knox","R000008387 Geo ID:

 50984.00200.00000.010000",""
"Gene Thompson 947859 Recorded.txt","","","","",""
"Gerald Russell 939562.txt","57.4","1635","Knox","",""
"Ginger Dispain 952809 Recorded.txt","","","","R00010961",""
"Glen Coman 938516.txt","","","","",""
"Glenn Drake 960318 63806_Glenn Drake wo 960318.txt","184.6C3","1682","Parker Country, Texas, as more fully described in an instrument recorded in Volume , Page of the Real Records of Parker","",""
"Glenn Drake 960318_Glenn Drake 960318.txt","156.720","N/A","PARKER","",""
"Gold Creek Homes 966948.txt","81","2562","Parker","",""
"Grant Davis 968056_Grant Davis PT 968056.txt","9.657","1730","Parker","GLOGRAPHIC ID:

 the EASEVENT PROPERIN shall be limited to that ponion of the property within 10 feet in all directions of GRANTEE'S lines",""
"Grant Wright 967716_Grant Wright 967116.txt","","","","",""
"Great Escapes North Texas LLC 959063.txt","180.642","214","JACK","58934","n/a"
"Guy Hamilton 959109_Guy Hamilton 959109.txt","","","","",""
"Harold H Hirsch 966456.txt","10","875","Parker","",""
"Harris License & Permits 950110_Harris License & Permits WO 950110.txt","","","","",""
"Harris License & Permits WO 950110_Harris License & Permits 950110.txt","","","","",""
"Heidi Amos 965676_Heidi Amos 965676.txt","","","","",""
"Heine Propane 949851 Recorded.txt","1.870","167","HOOD","R000041266","2067.000.00401"
"Heine Propane SCott Heine 949851 Recorded.txt","1.870","167","HOOD","R000041266","20167.000.0040.1"
"Helen Lee Portwood   Michael Lee Styles.txt","474.63","142","BAYLOR","",""
"Hickey Alan 964476.txt","","","","R000039957","20022. 000. 1000.0"
"High Meadows Ranch 947925 Recorded.txt","","","","",""
"Howard Laurie Wadley 946893 Recorded.txt","","","","",""
"Husky Construction 964930_Husky Construction 964930.txt","","","","R000113942 11762.004.005.00",""
"Ian Linden 958524_Ian Linden 958524.txt","/0.014","2464","Parker","66644",""
"Imogene Box 938331.txt","","942","Parker","",""
"IMS Development 962641_IMS Development 962641.txt","","","","",""
"Jack Martin 967062_Jack Martin 967062.txt","5","27","HOED","",""
"Jack Perrin LLC 963475.txt","","","","",""
"Jackie Aldridge 958474_Jackie Aldridge 958474.txt","","","","P000017246",""
"Jackie W Sandlin 966456.txt","3,518","1392","Parker","",""
"Jacob Will 959540_Jacob Will 959540.txt","16","","Pasker","R000012557","13700.050.004.00"
"James & Jeannine Reddick 938338.txt","5","Le 30","WiSE","",""
"James Brown 959389_James Brown 959389.txt","42 1/2","1435","Parker","",""
"James Burris 964196_James Burris 964196.txt","","1065","PARKer","",""
"James Donaldson PT 27324_James Donaldson.txt","I","893","Parker","",""
"James Franklin 956114_James Franklin 956114.txt","","","","",""
"James Hawley 957340_James Hawley 957340.txt","0.580","1399","Parker","R000054558","21399.011.000.00"
"James Le 965549_James Le 965549.txt","","","","R000113855",""
"James McCurdy 963459_James McCurdy 963459.txt","5","1806","Parker","",""
"James Mosley.txt","","","","",""
"James Reddick 938338.txt","5","Le 30","WiSE","",""
"James Rinhart 966280_James Rinehart 966280.txt","10.000","994","Parker","",""
"James Seals 960678_James Seals 960678.txt","N/A","N/A","N/A","2Y300D","12835-2-13"
"James Smithwick 944228.txt","/","495","Parker","",""
"James Springfield 946533 Recorded.txt","","","","",""
"James Tyler Parcher & Peggy Daniel Parcher 959970.txt","146.6","977","Haskell","5547","0011-00977-00220-000100"
"James Welborn 962891_James Welborn 962891.txt","","","","",""
"Jamie Beckett 964421_Jamie Beckett 964421.txt","10.824","32","Parker","",""
"Janet Malik PT 28095_Janet Malik PT 28095.txt","1,0000","1933 TRACT 3","TARRANT","04309731","A1933-3"
"Jason Norgan Lanette Jene'e  953047_Jason Norgan Lanette Jene'e 953047.txt","","","","R000082687 GEOGRAPIIIC ID:

 17451.001.010.00",""
